RTT        | Send-Time            | Recive-Time          | Message              | Packet-lost
1.0 ms     | 1684842825852        | 1684842825853        | AMZN                 | 1
0.0 ms     | 1684842827884        | 1684842827884        | AMZN                 | 1
0.0 ms     | 1684842829898        | 1684842829898        | AMZN                 | 1
0.0 ms     | 1684842831924        | 1684842831924        | MSFT                 | 1
0.0 ms     | 1684842833947        | 1684842833947        | MSFT                 | 1
1.0 ms     | 1684842835971        | 1684842835972        | AAPL                 | 1
0.0 ms     | 1684842838004        | 1684842838004        | AAPL                 | 1
0.0 ms     | 1684842840025        | 1684842840025        | MSFT                 | 1
0.0 ms     | 1684842842038        | 1684842842038        | MSFT                 | 1
0.0 ms     | 1684842844048        | 1684842844048        | MSFT                 | 1
0.0 ms     | 1684842846074        | 1684842846074        | MSFT                 | 1
0.0 ms     | 1684842848101        | 1684842848101        | AAPL                 | 1
0.0 ms     | 1684842850117        | 1684842850117        | AAPL                 | 1
0.0 ms     | 1684842852138        | 1684842852138        | AAPL                 | 1
0.0 ms     | 1684842854164        | 1684842854164        | MSFT                 | 1
0.0 ms     | 1684842856195        | 1684842856195        | AMZN                 | 1
