RTT        | Send-Time            | Recive-Time          | Message              | Packet-lost
2.0 ms     | 1683132969957        | 1683132969959        | MSFT                 | 2
1.0 ms     | 1683132970988        | 1683132970989        | MSFT                 | 2
0.0 ms     | 1683132971997        | 1683132971997        | MSFT                 | 2
0.0 ms     | 1683132975024        | 1683132975024        | MSFT                 | 2
0.0 ms     | 1683132976036        | 1683132976036        | AAPL                 | 2
1.0 ms     | 1683132977055        | 1683132977056        | AAPL                 | 2
1.0 ms     | 1683132980082        | 1683132980083        | AMZN                 | 2
0.0 ms     | 1683132981095        | 1683132981095        | AAPL                 | 2
1.0 ms     | 1683132984122        | 1683132984123        | AAPL                 | 2
1.0 ms     | 1683132987144        | 1683132987145        | MSFT                 | 2
1.0 ms     | 1683132988154        | 1683132988155        | MSFT                 | 2
1.0 ms     | 1683132991178        | 1683132991179        | MSFT                 | 2
0.0 ms     | 1683132992190        | 1683132992190        | AMZN                 | 2
0.0 ms     | 1683132995222        | 1683132995222        | AMZN                 | 2
0.0 ms     | 1683132996235        | 1683132996235        | AMZN                 | 2
1.0 ms     | 1683132997243        | 1683132997244        | MSFT                 | 2
